1,1345,580
2,1345,749
3,1345,919
4,1198,325
5,1198,495
6,1198,664
7,1198,834
8,1198,1003
9,1198,1173
10,1051,240
11,1051,410
12,1051,580
13,1051,749
14,1051,919
15,1051,1088
16,1051,1258
17,904,325
18,904,495
19,904,664
20,904,834
21,904,1003
22,904,1173
23,904,1343
24,757,240
25,757,410
26,757,580
27,757,749
28,757,919
29,757,1088
30,757,1258
31,610,325
32,610,495
33,610,664
34,610,834
35,610,1003
36,610,1173
37,610,1343
38,464,240
39,464,410
40,464,580
41,464,749
42,464,919
43,464,1088
44,464,1258
45,317,495
46,317,664
47,317,834
48,317,1003
49,317,1173
50,170,749
